Job no.,Priority,PM,Sales Category,Rework,Order,Promised,Line,OpenQty,Open Value (Discounted),Open Value,Fixture Type,Product Code,Sched. Ship Date,Final Assembly (HRS),Status,Comment,Pick Status,MachineShop Delivered,Wiring Delivered,Issue Resolved,Production Comment,Complexity ,Production Group,Total Sections,Ballast/Driver Qty,(Wiring) Pick Status,(LED) Pick Status,(MS) Pick Status,Material Check,Status2,Missing Materials,ProductionSchedule,Priority List MEETING,Column2,Column3,Complete/Partial,Nc Reason,Solved?,ISSUE,Schedule dashboard,Time 1,Time 2,Time Unid,Value Unid,Real sections,Real Time,Real Value,PRIORITY SEQUENCE,Column1,Column12,Real Status,PRIORITY2,Completed Sections,Remaining Sections,Column4
75172-2,,BALA,Replacement,FALSE,75172,High Priority,2,1,696,696,LT33D-SAMPLE,WWR-SL-750-90-30-L-4'-W-277-LT(LDE5)-E(1)-D,04/10/2018,3.989,Wiring Started,LINE: 2 - IS FOR JEAN GAGNE TO TEST - MUST BE APPROVED BEFORE CONTINUING WITH LINE: 1,Picked - Complete,,,FALSE,,C - Small,12,1,2,,Picked - Complete,,OK,Wiring Started,,12/10/2018,,1,#REF!,Complete,Others,TRUE,,- ,0.066483333,0:03:38,3.989,696,1,3.99,696.00,,- ,- ,Wiring Started,,0,1,
75472-1,,BALA,Regular,FALSE,75472,Regular,1,1,0,9180,A,CCH-SL-1100-80-35-CP(102)-W-UNV-DP-2-C,11/10/2018,134,Wiring Started,REPLACEMENT FOR ORDER#73923,Picked - Complete,,11/10/2018,FALSE,,C - Small,4,16,24,Picked - Complete,,,OK,Wiring Started,,15/10/2018,,0,#REF!,Complete,0,FALSE,0,- ,2.233333333,2:01:56,8.375,573.75,16,134.00,9180.00,,- ,- ,Wiring Started,,2,14,
75472-2,,BALA,Regular,FALSE,75472,Regular,2,4,0,16560,B,CCH-SL-1100-80-35-CP(46)-W-UNV-DP-1-C,11/10/2018,292.24,Wiring Started,REPLACEMENT FOR ORDER#73923,Picked - Complete,,11/10/2018,FALSE,,C - Small,4,56,56,Picked - Complete,,,OK,Wiring Started,,15/10/2018,,0,#REF!,Complete,0,FALSE,0,- ,4.870666667,4:25:56,5.218571429,295.7142857,56,292.24,16560.00,,- ,- ,Wiring Started,,16,40,
75472-3,,BALA,Regular,FALSE,75472,Regular,3,1,0,2700,C,CCH-SL-1100-80-35-CP(30)-W-UNV-DP-1-C,11/10/2018,73.06,Wiring Started,REPLACEMENT FOR ORDER#73923,Picked - Complete,,11/10/2018,FALSE,,C - Small,4,12,12,Picked - Complete,,,OK,Wiring Started,,15/10/2018,,0,#REF!,Complete,Mechanical issue,FALSE,Mechanical issue,- ,1.217666667,1:06:29,6.088333333,225,12,73.06,2700.00,,- ,- ,Wiring Started,,2,10,
75172-1,,BALA,Replacement,FALSE,75172,High Priority,1,1,696,696,LT33D,WWR-SL-750-90-30-L-4'-W-277-LT(LDE5)-E(1)-D,05/10/2018,3.989,Wiring Started,LINE: 2 - IS FOR JEAN GAGNE TO TEST - MUST BE APPROVED BEFORE CONTINUING WITH LINE: 1,Picked - Complete,,,FALSE,,C - Small,12,1,2,,,,OK,Wiring Started,,12/10/2018,,0,#REF!,Complete,Others,TRUE,,- ,0.066483333,0:03:38,3.989,696,1,3.99,696.00,,- ,- ,Wiring Started,,0,1,
75276-1,,BALA,Mockup/Samples,FALSE,75276,Priority,1,1,320,320,A,ARWLED-500-80-27-S-2-W-UNV-DP-1-C(CORD & PLUG),11/10/2018,3.806,Machine Shop Finished,,Picked - Complete,,10/10/2018,FALSE,,C - Small,12,1,1,Picked - Complete,,,#N/A,Machine Shop Finished,,12/10/2018,,1,#REF!,Complete,, ,,75276-1,0.063433333,0:03:28,3.806,320,1,3.81,320.00,,0,12/10/2018,x,,0,1,
73954-1,,BALA,Regular,FALSE,73954,Regular,1,2,0,1760,B9,"WBLED-500-80-40-S-8-AP-UNV-DP-1-SA(18"")",11/10/2018,15.618,Wiring Started,please pack for UPS shipping,Picked - Complete,,09/10/2018,FALSE,,C - Small,12,4,4,Picked - Complete,,,OK,Wiring Started,,12/10/2018,,1,#REF!,Complete,0,FALSE,0,73954-1,0.2603,0:14:13,3.9045,440,4,15.62,1760.00,,0,12/10/2018,Packaging Finished,,0,4,
73954-2,,BALA,Regular,FALSE,73954,Regular,2,2,0,2640,B10,"WBLED-500-80-40-S-12-AP-UNV-DP-1-SA(18"")",11/10/2018,21.412,Wiring Started,please pack for UPS shipping,Picked - Complete,,09/10/2018,FALSE,,C - Small,12,4,4,Picked - Complete,,,OK,Wiring Started,,12/10/2018,,0,#REF!,Complete,0,FALSE,0,73954-2,0.356866667,0:19:29,5.353,660,4,21.41,2640.00,,0,12/10/2018,Packaging Finished,,0,4,
73742-1,,BALA,Regular,FALSE,73742,Regular,1,1,0,450,F2/F4-6',BMRLED-750-90-40-RG-6-W-UNV-DP-1-TB9,11/10/2018,6.099,Machine Shop Finished,,Picked - Complete,08/10/2018,09/10/2018,FALSE,,C - Small,12,1,2,Picked - Complete,,Picked - Complete,OK,Machine Shop Finished -Ready,,,,1,#REF!,Complete,On Hold,FALSE,On Hold,73742-1,0.10165,0:05:33,6.099,450,1,6.10,450.00,,0,12/10/2018,Machine Shop Finished,,0,1,
73742-2,,BALA,Regular,FALSE,73742,Regular,2,2,0,1800,F4/F8-12',BMRLED-750-90-40-RG-12-W-UNV-DP-1-TB9,11/10/2018,17.352,Machine Shop Finished,,Picked - Complete,08/10/2018,09/10/2018,FALSE,,C - Small,12,2,6,Picked - Complete,,Picked - Complete,OK,Machine Shop Finished -Ready,,,,0,#REF!,Complete,On Hold,FALSE,On Hold,73742-2,0.2892,0:15:47,8.676,900,2,17.35,1800.00,,0,12/10/2018,Machine Shop Finished,,0,2,
75152-1,,BALA,Mockup/Samples,FALSE,75152,High Priority,1,1,0,75,A,"SP000-BBRLED-1500-80-35-ASO-4-W-120-DP-1-D-C(CORD, PLUG & DIMMER)",12/10/2018,2.239,Machine Shop Finished,UPS RED,Picked - Complete,,10/10/2018,TRUE,,C - Small,12,1,1,Picked - Complete,,,#N/A,Machine Shop Finished,,12/10/2018,,1,#REF!,Complete,, ,,75152-1,0.037316667,0:02:02,2.239,75,1,2.24,75.00,,0,12/10/2018,x,,0,1,
74852-1,,BALA,Mockup/Samples,FALSE,74852,High Priority,1,1,0,352,SAMPLE,LTWLED-SL 80/20-800-80-35-SO-4-W-UNV-DP-1-C(CORD & PLUG),12/10/2018,4.878,Machine Shop Finished,,Picked - Complete,08/10/2018,10/10/2018,FALSE,,C - Small,12,1,1,Picked - Complete,Picked - Complete,Picked - Complete,OK,Machine Shop Finished -Ready,,12/10/2018,,1,#REF!,Complete,Mechanical issue,TRUE,,74852-1,0.0813,0:04:26,4.878,352,1,4.88,352.00,,0,12/10/2018,Wiring Started,,0,1,
74699-1,,BALA,Mockup/Samples,FALSE,74699,High Priority,1,1,500,500,SAMPLE,"TB2DILED-1100-1000-80-35-SL-0.25G-4-W-120-DP-2-CTS(36)-C(CORD, PLUG AND DIMMER)",12/10/2018,7.248,Machine Shop Finished,,Picked - Complete,,10/10/2018,FALSE,,C - Small,12,1,2,Picked - Complete,,,OK,Machine Shop Finished -Ready,,12/10/2018,,1,#REF!,Complete,Mechanical issue,TRUE,,74699-1,0.1208,0:06:36,7.248,500,1,7.25,500.00,,0,12/10/2018,Wiring Started,,0,1,
