Order, Assigned Group, Start Date, Start Time, Finish day, Finish time, Assembly Time, Status 
77831,1,1/14/2019 0:00,0,1/14/2019 0:00,9,9,2
77282,1,1/14/2019 0:00,9,1/14/2019 0:00,78,69,2
78466,1,1/14/2019 0:00,78,1/14/2019 0:00,88,10,2
77684,1,1/14/2019 0:00,88,1/14/2019 0:00,95,7,2
78208,1,1/14/2019 0:00,95,1/14/2019 0:00,209,114,2
78345,1,1/14/2019 0:00,209,1/14/2019 0:00,259,50,2
78299,1,1/14/2019 0:00,259,1/14/2019 0:00,312,53,2
78441,1,1/14/2019 0:00,312,1/14/2019 0:00,392,80,2
77744,1,1/14/2019 0:00,392,1/14/2019 0:00,444,52,2
77544,1,1/14/2019 0:00,444,1/14/2019 0:00,468,24,2
75830,1,1/14/2019 0:00,468,1/14/2019 0:00,866,398,2
77587,1,1/14/2019 0:00,866,1/14/2019 0:00,875,9,2
78219,1,1/14/2019 0:00,875,1/15/2019 0:00,1469,594,6
78228,1,1/15/2019 0:00,1469,1/15/2019 0:00,2174,705,6
78587,1,1/15/2019 0:00,2174,1/15/2019 0:00,2192,18,6
78524,1,1/15/2019 0:00,2192,1/15/2019 0:00,2202,10,6
68737,1,1/15/2019 0:00,2202,1/15/2019 0:00,2358,156,6
77839,1,1/15/2019 0:00,2358,1/15/2019 0:00,2412,54,6
78618,1,1/15/2019 0:00,2412,1/15/2019 0:00,2500,88,6
76020,1,1/15/2019 0:00,2500,1/16/2019 0:00,2703,203,6
78025,1,1/16/2019 0:00,2703,1/16/2019 0:00,2979,276,6
78099,1,1/16/2019 0:00,2979,1/16/2019 0:00,3120,141,6
78084,1,1/16/2019 0:00,3120,1/16/2019 0:00,3274,154,6
78625,1,1/16/2019 0:00,3274,1/16/2019 0:00,3292,18,6
78356,1,1/16/2019 0:00,3292,1/16/2019 0:00,3391,99,6
76203,1,1/16/2019 0:00,3391,1/16/2019 0:00,3403,12,6
76786,1,1/16/2019 0:00,3403,1/16/2019 0:00,3733,330,6
78561,1,1/16/2019 0:00,3733,1/16/2019 0:00,3736,3,6
77881,4,1/14/2019 0:00,0,1/14/2019 0:00,81,81,1
66221,4,1/14/2019 0:00,81,1/14/2019 0:00,291,210,1
76028,4,1/14/2019 0:00,291,1/14/2019 0:00,376,85,1
78205,4,1/14/2019 0:00,376,1/14/2019 0:00,392,16,1
76291,4,1/14/2019 0:00,392,1/15/2019 0:00,1909,1517,6
78073,4,1/15/2019 0:00,1909,1/16/2019 0:00,3021,1112,6
76937,4,1/16/2019 0:00,3021,1/16/2019 0:00,3597,576,6
72589,7,1/14/2019 0:00,0,1/14/2019 0:00,52,52,1
70162,7,1/14/2019 0:00,52,1/14/2019 0:00,1203,1151,1
71102,7,1/14/2019 0:00,1203,1/15/2019 0:00,1290,87,1
77069,7,1/15/2019 0:00,1290,1/15/2019 0:00,1746,456,1
76191,7,1/15/2019 0:00,1746,1/15/2019 0:00,1803,57,2
77515,7,1/15/2019 0:00,1803,1/15/2019 0:00,1815,12,2
78157,7,1/15/2019 0:00,1815,1/15/2019 0:00,1943,128,6
73456,7,1/15/2019 0:00,1943,1/16/2019 0:00,2589,646,6
78519,7,1/16/2019 0:00,2589,1/16/2019 0:00,2599,10,6
78483,7,1/16/2019 0:00,2599,1/16/2019 0:00,2620,21,6
75966,7,1/16/2019 0:00,2620,1/16/2019 0:00,3200,580,6
78697,7,1/16/2019 0:00,3200,1/16/2019 0:00,3204,4,6
78585,7,1/16/2019 0:00,3204,1/16/2019 0:00,3282,78,6
78424,7,1/16/2019 0:00,3282,1/16/2019 0:00,3328,46,6
78551,7,1/16/2019 0:00,3328,1/16/2019 0:00,3336,8,6
78310,7,1/16/2019 0:00,3336,1/16/2019 0:00,3397,61,6
78377,7,1/16/2019 0:00,3397,1/16/2019 0:00,3464,67,6
78574,7,1/16/2019 0:00,3464,1/16/2019 0:00,3474,10,6
78504,7,1/16/2019 0:00,3474,1/16/2019 0:00,3494,20,6
78185,10,1/14/2019 0:00,0,1/14/2019 0:00,414,414,1
78185,10,1/14/2019 0:00,414,1/14/2019 0:00,828,414,1
78278,10,1/14/2019 0:00,828,1/15/2019 0:00,1036,208,2
76995,10,1/15/2019 0:00,1036,1/15/2019 0:00,1086,50,2
78102,10,1/15/2019 0:00,1086,1/15/2019 0:00,1177,91,2
77985,10,1/15/2019 0:00,1177,1/16/2019 0:00,1805,628,2
78278,10,1/16/2019 0:00,1805,1/16/2019 0:00,2013,208,2
77227,10,1/16/2019 0:00,2013,1/16/2019 0:00,2046,33,6
78044,10,1/16/2019 0:00,2046,1/16/2019 0:00,2094,48,6
77074,10,1/16/2019 0:00,2094,1/16/2019 0:00,2186,92,6
78520,10,1/16/2019 0:00,2186,1/16/2019 0:00,2264,78,6
76087,10,1/16/2019 0:00,2264,1/16/2019 0:00,2378,114,6
77693,10,1/16/2019 0:00,2378,1/17/2019 0:00,3190,812,6
78365,10,1/17/2019 0:00,3190,1/17/2019 0:00,3211,21,6
78414,10,1/17/2019 0:00,3211,1/17/2019 0:00,3260,49,6
78044,10,1/17/2019 0:00,3260,1/17/2019 0:00,3308,48,6
78363,10,1/17/2019 0:00,3308,1/17/2019 0:00,3333,25,6
77596,10,1/17/2019 0:00,3333,1/18/2019 0:00,3630,297,6
77163,10,1/18/2019 0:00,3630,1/18/2019 0:00,3690,60,6
78082,10,1/18/2019 0:00,3690,1/18/2019 0:00,3710,20,6
77268,10,1/18/2019 0:00,3710,1/18/2019 0:00,3960,250,6
76887,12,1/14/2019 0:00,0,1/14/2019 0:00,16,16,1
78323,12,1/14/2019 0:00,16,1/14/2019 0:00,35,19,2
78111,12,1/14/2019 0:00,35,1/14/2019 0:00,77,42,2
75452,12,1/14/2019 0:00,77,1/14/2019 0:00,84,7,6
75592,12,1/14/2019 0:00,84,1/14/2019 0:00,406,322,6
77740,12,1/14/2019 0:00,406,1/14/2019 0:00,422,16,6
78405,12,1/14/2019 0:00,422,1/14/2019 0:00,469,47,6
77577,12,1/14/2019 0:00,469,1/15/2019 0:00,1300,831,6
77521,12,1/15/2019 0:00,1300,1/15/2019 0:00,1377,77,6
75697,12,1/15/2019 0:00,1377,1/16/2019 0:00,1843,466,6
75859,12,1/16/2019 0:00,1843,1/17/2019 0:00,2798,955,6
78391,12,1/17/2019 0:00,2798,1/17/2019 0:00,3258,460,6
78540,12,1/17/2019 0:00,3258,1/17/2019 0:00,3280,22,6
