Order, Assigned Group, Start Date, Start Time, Finish day, Finish time, Assembly Time, Status 
77881,1,1/15/2019 0:00,0,1/15/2019 0:00,81,81,1
78205,1,1/15/2019 0:00,81,1/15/2019 0:00,97,16,1
78587,1,1/15/2019 0:00,97,1/15/2019 0:00,115,18,6
75668,1,1/15/2019 0:00,115,1/15/2019 0:00,777,662,6
78044,1,1/15/2019 0:00,777,1/15/2019 0:00,825,48,6
68737,1,1/15/2019 0:00,825,1/15/2019 0:00,981,156,6
77577,1,1/15/2019 0:00,981,1/16/2019 0:00,1812,831,6
73456,1,1/16/2019 0:00,1812,1/16/2019 0:00,2458,646,6
78365,1,1/16/2019 0:00,2458,1/16/2019 0:00,2479,21,6
78625,1,1/16/2019 0:00,2479,1/16/2019 0:00,2497,18,6
78082,1,1/16/2019 0:00,2497,1/16/2019 0:00,2517,20,6
78414,1,1/16/2019 0:00,2517,1/17/2019 0:00,2566,49,6
78099,1,1/17/2019 0:00,2566,1/17/2019 0:00,2707,141,6
78025,1,1/17/2019 0:00,2707,1/17/2019 0:00,2983,276,6
76203,1,1/17/2019 0:00,2983,1/17/2019 0:00,2995,12,6
78519,1,1/17/2019 0:00,2995,1/17/2019 0:00,3005,10,6
78405,1,1/17/2019 0:00,3005,1/17/2019 0:00,3052,47,6
78483,1,1/17/2019 0:00,3052,1/17/2019 0:00,3073,21,6
78618,1,1/17/2019 0:00,3073,1/17/2019 0:00,3161,88,6
78504,1,1/17/2019 0:00,3161,1/17/2019 0:00,3181,20,6
77521,1,1/17/2019 0:00,3181,1/17/2019 0:00,3258,77,6
78044,1,1/17/2019 0:00,3258,1/17/2019 0:00,3306,48,6
66221,4,1/15/2019 0:00,0,1/15/2019 0:00,210,210,1
78157,4,1/15/2019 0:00,210,1/15/2019 0:00,338,128,6
78377,4,1/15/2019 0:00,338,1/15/2019 0:00,405,67,6
78073,4,1/15/2019 0:00,405,1/16/2019 0:00,1517,1112,6
78391,4,1/16/2019 0:00,1517,1/16/2019 0:00,1977,460,6
75697,4,1/16/2019 0:00,1977,1/16/2019 0:00,2443,466,6
77693,4,1/16/2019 0:00,2443,1/17/2019 0:00,3255,812,6
77069,7,1/15/2019 0:00,0,1/15/2019 0:00,456,456,1
78524,7,1/15/2019 0:00,456,1/15/2019 0:00,466,10,6
75452,7,1/15/2019 0:00,466,1/15/2019 0:00,473,7,6
76087,7,1/15/2019 0:00,473,1/15/2019 0:00,587,114,6
75859,7,1/15/2019 0:00,587,1/16/2019 0:00,1542,955,6
78424,7,1/16/2019 0:00,1542,1/16/2019 0:00,1588,46,6
78310,7,1/16/2019 0:00,1588,1/16/2019 0:00,1649,61,6
76020,7,1/16/2019 0:00,1649,1/16/2019 0:00,1852,203,6
77268,7,1/16/2019 0:00,1852,1/16/2019 0:00,2102,250,6
76786,7,1/16/2019 0:00,2102,1/16/2019 0:00,2432,330,6
75966,7,1/16/2019 0:00,2432,1/17/2019 0:00,3012,580,6
77163,7,1/17/2019 0:00,3012,1/17/2019 0:00,3072,60,6
77074,7,1/17/2019 0:00,3072,1/17/2019 0:00,3164,92,6
78363,7,1/17/2019 0:00,3164,1/17/2019 0:00,3189,25,6
70162,10,1/15/2019 0:00,0,1/16/2019 0:00,1151,1151,1
71102,10,1/16/2019 0:00,1151,1/16/2019 0:00,1238,87,1
76028,10,1/16/2019 0:00,1238,1/16/2019 0:00,1323,85,1
77740,10,1/16/2019 0:00,1323,1/16/2019 0:00,1339,16,6
75592,10,1/16/2019 0:00,1339,1/16/2019 0:00,1661,322,6
78228,10,1/16/2019 0:00,1661,1/17/2019 0:00,2366,705,6
78574,10,1/17/2019 0:00,2366,1/17/2019 0:00,2376,10,6
78356,10,1/17/2019 0:00,2376,1/17/2019 0:00,2475,99,6
76937,10,1/17/2019 0:00,2475,1/18/2019 0:00,3051,576,6
78084,10,1/18/2019 0:00,3051,1/18/2019 0:00,3205,154,6
78561,10,1/18/2019 0:00,3205,1/18/2019 0:00,3208,3,6
78540,10,1/18/2019 0:00,3208,1/18/2019 0:00,3230,22,6
77839,10,1/18/2019 0:00,3230,1/18/2019 0:00,3284,54,6
78585,10,1/18/2019 0:00,3284,1/19/2019 0:00,3362,78,6
78185,12,1/15/2019 0:00,0,1/15/2019 0:00,414,414,1
78185,12,1/15/2019 0:00,414,1/15/2019 0:00,828,414,1
72589,12,1/15/2019 0:00,828,1/16/2019 0:00,880,52,1
78100,12,1/16/2019 0:00,880,1/16/2019 0:00,901,21,1
78219,12,1/16/2019 0:00,901,1/16/2019 0:00,1495,594,6
77227,12,1/16/2019 0:00,1495,1/16/2019 0:00,1528,33,6
77596,12,1/16/2019 0:00,1528,1/17/2019 0:00,1825,297,6
76291,12,1/17/2019 0:00,1825,1/18/2019 0:00,3342,1517,6
78520,12,1/18/2019 0:00,3342,1/19/2019 0:00,3420,78,6
78697,12,1/19/2019 0:00,3420,1/19/2019 0:00,3424,4,6
