Job no.,Priority,PM,Sales Category,Rework,Order,Promised,Line,OpenQty,Open Value (Discounted),Open Value,Fixture Type,Product Code,Sched. Ship Date,Final Assembly (HRS),Status,Comment,Pick Status,MachineShop Delivered,Wiring Delivered,Issue Resolved,Production Comment,Complexity ,Production Group,Total Sections,Ballast/Driver Qty,(Wiring) Pick Status,(LED) Pick Status,(MS) Pick Status,Material Check,Status2,Missing Materials,Production Schedule,Priority List MEETING,Column2,Column3,Complete/Partial,Nc Reason,Solved?,ISSUE,Schedule dashboard,Time 1,Time 2,Time Unid,Value Unid,Real sections,Real Time,Real Value,PRIORITY SEQUENCE,Column1,Column12,Real Status,PRIORITY2,Completed Sections,Remaining Sections,Column4,Saw,BA ,weld,lens,Product Name,Short Name,Order Issue
77005-1,,Gagandeep,Regular,FALSE,77005,Regular,1,2,0,9500,F-16-7'X16' RECT,BRLEDPAT-REC-90(4)-700-80-35-SO-FL-46'-EX-W-UNV-DP-1-D-C(7' X 16' RECTANGLE),29.01.2019,40,Scheduled/Released,,,,,FALSE,,A - Regular,"1,4,7",16,24,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,0.666666667,0:36:24,2.5,593.75,16,40,9500,,- ,- ,Scheduled/Released,,0,16,,FALSE,FALSE,,,BRLEDPAT-REC-90(4)-700-80-35-SO-FL-46'-EX-W-UNV-DP-1-D-C(7' X 16' RECTANGLE),BRLEDPAT,
77005-2,,Gagandeep,Regular,FALSE,77005,Regular,2,4,0,11400,"F-16, 30""","SK-10003-CIR-AL(#7' 10 1/4"")-700-80-35-SO-W-UNV-DP-1-DS",29.01.2019,80,Scheduled/Released,,,,,FALSE,,A - Regular,"1,4,7",16,8,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,1.333333333,1:12:48,5,712.5,16,80,11400,,- ,- ,Scheduled/Released,,0,16,,FALSE,FALSE,,,"SK-10003-CIR-AL(#7' 10 1/4"")-700-80-35-SO-W-UNV-DP-1-DS",SK,
77249-1,,jatin,Mockup/Samples,FALSE,77249,High Priority,1,2,1440,1440,PRIVATE OFFICE - NEIL,SCML-8-BW-400-MLB(16)-300-GR-80-35-AP-UNV-DP-1-CA(36)-EN(1),18.01.2019,16,Machine Shop Started,"For Axis 
Lines 1-2-4-7-9-12 must be ready by 1/10.  Contractor waiting to install.",Picked - Complete,,,FALSE,,A - Regular,"1,4,7",2,4,,,,OK,Machine Shop Started,#NAME?,,,1,2,,0,FALSE,0,- ,0.266666667,0:14:34,8,720,2,16,1440,,- ,- ,Machine Shop Started,,0,2,,TRUE,FALSE,,,SCML-8-BW-400-MLB(16)-300-GR-80-35-AP-UNV-DP-1-CA(36)-EN(1),SCML,Order Flagged
77249-2,,jatin,Mockup/Samples,FALSE,77249,High Priority,2,1,1360,1360,MEETING ROOM 4,STSFF-SO(16-400)-80-35-AL(2)+AT(2)-MKL(10)-80-35-W-BLK-BLK-UNV-MD-1-SBS-C(REMOTE ENLIGHTED INTEGRAL SENSOR),10.01.2019,40,Machine Shop Started,"For Axis 
Lines 1-2-4-7-9-12 must be ready by 1/10.  Contractor waiting to install.",Picked - Complete,,,FALSE,,A - Regular,"1,4,7",7,8,,,,NO,Machine Shop Started,#NAME?,15.01.2019,,0,2,,Others,FALSE,Others,- ,0.666666667,0:36:24,5.714285714,194.2857143,7,40,1360,,- ,- ,Machine Shop Finished,,0,7,,TRUE,TRUE,,Done,STSFF-SO(16-400)-80-35-AL(2)+AT(2)-MKL(10)-80-35-W-BLK-BLK-UNV-MD-1-SBS-C(REMOTE ENLIGHTED INTEGRAL SENSOR),STSFF,Order Flagged
77249-3,,jatin,Mockup/Samples,FALSE,77249,High Priority,3,1,680,680,MEETING ROOM 3,ED2WD-1000-80-35-UB-8-W-W-UNV-DP-1-FL-C(REMOTE DRIVER AND ENLIGHTED INTEGRAL SENSOR),24.01.2019,10.26,Scheduled/Released,"For Axis 
Lines 1-2-4-7-9-12 must be ready by 1/10.  Contractor waiting to install.",,,,FALSE,,A - Regular,"1,4,7",1,2,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,1,2,,0,FALSE,0,- ,0.171,0:09:20,10.26,680,1,10.26,680,,- ,- ,Scheduled/Released,,0,1,,FALSE,FALSE,,,ED2WD-1000-80-35-UB-8-W-W-UNV-DP-1-FL-C(REMOTE DRIVER AND ENLIGHTED INTEGRAL SENSOR),ED2WD,Order Flagged
77249-4,,jatin,Mockup/Samples,FALSE,77249,High Priority,4,1,2100,2100,HR OFFICE,SCDIPAT-REC-90-500-300-80-35-BW-0.5M-6X8-NL-W-UNV-DP-1-CTS(12)-EN(1),18.01.2019,40.18,Machine Shop Started,"For Axis 
Lines 1-2-4-7-9-12 must be ready by 1/10.  Contractor waiting to install.",Picked - Complete,11.01.2019,,FALSE,,A - Regular,"1,4,7",4,16,,Picked - Complete,Picked - Complete,NO,Machine Shop Started,#NAME?,,,0,2,,Wrong info. In SD,TRUE,,- ,0.669666667,0:36:34,10.045,525,4,40.18,2100,,- ,- ,Machine Shop Started,,0,4,,TRUE,FALSE,ToDo,,SCDIPAT-REC-90-500-300-80-35-BW-0.5M-6X8-NL-W-UNV-DP-1-CTS(12)-EN(1),SCDIPAT,Order Flagged
77249-7,,jatin,Mockup/Samples,FALSE,77249,High Priority,7,3,765,765,QUOTES CORRIDOR,WWR-SL-400-80-35-L-2-W-UNV-DP-1-ST-C(REMOTE DRIVER AND ENLIGHTED INTEGRAL SENSOR),10.01.2019,15.78,Machine Shop Finished,"For Axis 
Lines 1-2-4-7-9-12 must be ready by 1/10.  Contractor waiting to install.",Picked - Complete,,,FALSE,,A - Regular,"1,4,7",3,3,,,,OK,Machine Shop Finished -Ready,,15.01.2019,,1,2,,0,FALSE,0,- ,0.263,0:14:22,5.26,255,3,15.78,765,,- ,- ,Wiring Started,,3,0,,TRUE,TRUE,,Done,WWR-SL-400-80-35-L-2-W-UNV-DP-1-ST-C(REMOTE DRIVER AND ENLIGHTED INTEGRAL SENSOR),WWR,Order Flagged
77249-9,,jatin,Mockup/Samples,FALSE,77249,High Priority,9,1,3910,3910,EXEC. CORRIDOR,ZERLED-SQ-400-80-35-46-W-UNV-DP-1-ST-B2(BSL10LST)-C(REMOTE ENLIGHTED INTEGRAL SENSOR),10.01.2019,91.9,Machine Shop Finished,"For Axis 
Lines 1-2-4-7-9-12 must be ready by 1/10.  Contractor waiting to install.",Picked - Complete,,,TRUE,,A - Regular,"1,4,7",4,8,,,,NO,Machine Shop Finished - Incomplete,Material,15.01.2019,,1,2,,Missing info. In SD,TRUE,,- ,1.531666667,1:23:38,22.975,977.5,4,91.9,3910,,- ,- ,Machine Shop Finished,,0,4,,TRUE,TRUE,,Done,ZERLED-SQ-400-80-35-46-W-UNV-DP-1-ST-B2(BSL10LST)-C(REMOTE ENLIGHTED INTEGRAL SENSOR),ZERLED,Order Flagged
77249-10,,jatin,Mockup/Samples,FALSE,77249,High Priority,10,1,510,510,MICHAEL R,ED2-1000-80-35-UB-6-W-W-UNV-MD-1-90D-CA(36)-FL-C(REMOTE ENLIGHTED INTEGRAL SENSOR),24.01.2019,10.26,Scheduled/Released,"For Axis 
Lines 1-2-4-7-9-12 must be ready by 1/10.  Contractor waiting to install.",,,,FALSE,,A - Regular,"1,4,7",1,2,,,,NO,Scheduled/Released,Material+lens+Housing,,,0,2,,0,FALSE,0,- ,0.171,0:09:20,10.26,510,1,10.26,510,,- ,- ,Scheduled/Released,,0,1,,FALSE,FALSE,,,ED2-1000-80-35-UB-6-W-W-UNV-MD-1-90D-CA(36)-FL-C(REMOTE ENLIGHTED INTEGRAL SENSOR),ED2,Order Flagged
77249-11,,jatin,Mockup/Samples,FALSE,77249,High Priority,11,1,510,510,LAZER,ED2-1000-80-35-UB-6-W-W-UNV-MD-1-45D-CA(36)-FL-C(REMOTE ENLIGHTED INTEGRAL SENSOR),24.01.2019,10.26,Scheduled/Released,"For Axis 
Lines 1-2-4-7-9-12 must be ready by 1/10.  Contractor waiting to install.",,,,FALSE,,A - Regular,"1,4,7",1,2,,,,NO,Scheduled/Released,Material+lens+Housing,,,0,2,,0,FALSE,0,- ,0.171,0:09:20,10.26,510,1,10.26,510,,- ,- ,Scheduled/Released,,0,1,,FALSE,FALSE,,,ED2-1000-80-35-UB-6-W-W-UNV-MD-1-45D-CA(36)-FL-C(REMOTE ENLIGHTED INTEGRAL SENSOR),ED2,Order Flagged
