Order, Line, Assigned Group, Start Date, Finish day, Ship day, Assembly Time, Status 
76658,1,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-10,170.0,1,
76658,2,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-10,36.0,1,
76658,3,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-10,6.0,1,
78023,1,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-11,12.0,1,
60266,1,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,864.0,1,
77511,1,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-16,32.2,1,
77511,2,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-16,12.9,1,
77283,1,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-17,52.25,1,
77283,2,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-17,18.06,1,
77283,3,1,2019-02-02 00:00:00,2019-02-03 00:00:00,2019-01-17,68.39,1,
77283,4,1,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-17,149.0,1,
77283,5,1,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-17,93.84,1,
75644,1,1,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-14,107.0,2,
75644,2,1,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-14,30.0,2,
75644,3,1,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-14,64.0,2,
78327,1,1,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-14,32.0,2,
77194,3,1,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-14,48.26,2,
77194,4,1,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-14,78.15,2,
61268,1,1,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,67.64,2,
74732,1,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-07,71.6,1,
74732,2,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-07,321.79,1,
74732,3,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-07,158.7,1,
74732,4,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-07,16.12,1,
76222,1,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-09,80.0,1,
76222,3,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-09,60.0,1,
76222,5,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-09,80.0,1,
76222,6,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-09,64.0,1,
76222,7,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-09,120.0,1,
76222,8,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-09,14.0,1,
76222,9,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-09,40.0,1,
76222,10,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-09,20.0,1,
76222,12,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-09,98.56,1,
