order-line,Assembly Line,Scheduled Ship Date,Orig Sched Date,Status,Sales Category,Rework,Order,Sched Date Priority,Issue Reason,Issue Resolved,Contains Tag,Line,Rel,Open Qty,Total Sections,Product Code,Final Assembly,Open Value,Open Discount Value,Comment,Sales Rep Code,PM,Operations Meeting Comments,Production Comment,Fixture Type,Pick Status,MachineShop Delivered,Wiring Delivered,Production Issue,NT,Material Check,Missing Materials,Schedule Date,Status2,Production Schedule,Unit Price,Unit Time,Section Completed,Remaining Section,Remaining value,Remaining Time,Issue,Rep. Count,Year,Month,Date,Order Count,Complete/Partial,Saw,BA ,weld,lens
78927-1,10,2/6/2019,2/6/2019 0:00,Wiring Started,Regular,FALSE,78927,High Priority,Others,TRUE,waiting for wires,1,1,37,37,DIALED-22-2500-80-TW2765-VL-W-UNV-DALIDT6-1-TB15-C(ELDOLED DUALDRIVER),103.6,13660.4,0,,Smart Li,Zahra Vatani,,,LA,Picked - Complete,,,FALSE,FALSE,NO,Material,,Wiring Issue,,369.2,2.8,0,37,13660.4,103.6,,1,2019,2,6,3,Partial,FALSE,TRUE,,Done
78927-2,10,2/6/2019,2/6/2019 0:00,Machine Shop Started,Regular,FALSE,78927,High Priority,,FALSE,,2,1,17,17,DIALED-22-2500-80-TW2765-VL-W-UNV-DALIDT6-1-TB15-B1(BSL310LP)-C(ELDOLED DUALDRIVER),107.1,9937.52,0,,Smart Li,Zahra Vatani,,,LAE,Picked - Complete,,,FALSE,FALSE,NO,Material,,Machine Shop Started,,584.56,6.3,0,17,9937.52,107.1,,1,2019,2,6,3,Partial,FALSE,TRUE,,Done
78927-3,10,2/6/2019,2/6/2019,Machine Shop Started,Regular,FALSE,78927,High Priority,,FALSE,,3,1,22,22,DIALED-24-3100-80-TW2765-VL-W-UNV-DALIDT6-1-TB15-C(ELDOLED DUALDRIVER),72.6,10914.2,0,,Smart Li,Zahra Vatani,,,LB,Picked - Complete,,,FALSE,FALSE,NO,Material,,Machine Shop Started,,496.1,3.3,14,8,3968.8,26.4,,0,2019,2,6,3,Partial,FALSE,TRUE,,Done
78927-4,7,2/6/2019,2/6/2019,Machine Shop Finished,Regular,FALSE,78927,High Priority,Others,TRUE,"need snapping reflectors in lines 4,5,6",4,1,1,1,"SP000-SCDI-500-300-80-TW2765-SO-FL-4'-W-UNV-O(ELDOLED DUALDRIVE)-2-CT15(36"")",7.6,698.04,0,,Smart Li,Zahra Vatani,,,LC-4',,,1/31/2019 0:00,FALSE,FALSE,NO,#NAME?,,Machine Shop Finished - Incomplete,,698.04,7.6,0,1,698.04,7.6,,1,2019,2,6,3,Partial,TRUE,TRUE,,Done
78927-5,7,2/6/2019,2/6/2019,Machine Shop Finished,Regular,FALSE,78927,High Priority,,FALSE,,5,1,4,8,"SP000-SCDI-500-300-80-TW2765-SO-FL-16'-W-UNV-O(ELDOLED DUALDRIVE)-2-CT15(36"")",94.4,10822.08,0,,Smart Li,Zahra Vatani,,,LC-16',,,1/31/2019 0:00,FALSE,FALSE,NO,#NAME?,,Machine Shop Finished - Incomplete,,1352.76,11.8,0,8,10822.08,94.4,,0,2019,2,6,3,Partial,TRUE,TRUE,,Done
78927-6,7,2/6/2019,2/6/2019,Machine Shop Finished,Regular,FALSE,78927,High Priority,,FALSE,,6,1,4,8,"SP000-SCDI-500-300-80-TW2765-SO-FL-16'-W-UNV-O(ELDOLED DUALDRIVE)-2-CT15(36"")-B1(BSL310LP)",109.6,11652.76,0,,Smart Li,Zahra Vatani,,,LCE-16',,,1/31/2019 0:00,FALSE,FALSE,NO,#NAME?,,Machine Shop Finished - Incomplete,,1456.595,13.7,0,8,11652.76,109.6,,0,2019,2,6,3,Partial,TRUE,TRUE,,Done
79198-1,12,2/5/2019,2/5/2019,Given to Shipping,Regular,FALSE,79198,High Priority,,FALSE,,1,1,6,12,SCR-500-80-30-FL-14'-W-UNV-DP-1-DF,69,5880,0,,Internat,Joe Brier,,,F1-14',Picked - Complete,,1/30/2019 0:00,FALSE,FALSE,NO,,,Given to Shipping,,490,5.75,12,0,0,0,,1,2019,2,5,1,Complete,TRUE,TRUE,,Done
79375-1,1,2/1/2019,2/1/2019,Wiring Started,Mockup/Samples,FALSE,79375,High Priority,,FALSE,,1,1,1,1,"SK-10003-ARC-AL 1' 11 9/16""-400-80-35-SO-W-UNV-DP-1-DS-C(CORD AND PLUG)",4.3,180,180,SAMPLE FOR HOWARD,HOUSE,Stan Buyansky,,,A,Picked - Complete,2/3/2019 0:00,,FALSE,FALSE,NO,,,Wiring Issue,,180,4.3,0,1,180,4.3,,1,2019,2,1,1,Complete,TRUE,TRUE,,AfterWirin
77249-1,1,1/18/2019,,Machine Shop Finished,Mockup/Samples,FALSE,77249,High Priority,Others,FALSE,SUB ASSEMBLY,1,1,2,2,SCML-8-BW-400-MLB(16)-300-GR-80-35-AP-UNV-DP-1-CA(36)-EN(1),16,1440,1440,For Axis Lines 1-2-4-7-9-12 must be ready by 1/10.  Contractor waiting to install.,HOUSE,Jatin Patel,Sukwhinder to advise.  Edited on 1/18/2019 ::: MS: 01/22  Edited on 1/22/2019  - other lines scheduled on 1/24  Edited on 1/22/2019 :: kaushik to advise  Edited on 1/29/2019 ::: Elizabeth to follow up with Bilal  Edited on 2/5/2019 ,,PRIVATE OFFICE - NEIL,Picked - Complete,,1/24/2019 0:00,FALSE,TRUE,NO,,,Machine Shop Finished - Incomplete,,720,8,0,2,1440,16,Others,1,2019,1,18,1,Complete,TRUE,TRUE,,Done
77249-2,1,1/10/2019,,Machine Shop Finished,Mockup/Samples,FALSE,77249,High Priority,Missing info. In SD,FALSE,SUB ASSEMBLY/NPI HEAT SINK,2,1,1,7,STSFF-SO(16-400)-80-35-AL(2)+AT(2)-MKL(10)-80-35-W-BLK-BLK-UNV-MD-1-SBS-C(REMOTE ENLIGHTED INTEGRAL SENSOR),40,1360,1360,For Axis Lines 1-2-4-7-9-12 must be ready by 1/10.  Contractor waiting to install.,HOUSE,Jatin Patel,MS: 01/23 - Ready: Kaushik to advise  Edited on 1/22/2019 ::: Kaushik to advise  Edited on 1/23/2019 ::: Elizabeth to follow  Edited on 1/28/2019:: Kaushik to advise  Edited on 1/29/2019 ::: Ready : Jan 31st ok per Kaushik  Edited on 1/30/2019::: Elizabeth to follow up with Bilal  Edited on 2/5/2019 ,,MEETING ROOM 4,Picked - Complete,1/23/2019 0:00,,FALSE,TRUE,NO,,,Machine Shop Finished - Incomplete,,194.2857143,5.714285714,0,7,1360,40,Missing info. In SD,0,2019,1,10,0,Complete,TRUE,TRUE,,Done
