order-line,Assembly Line,Scheduled Ship Date,Orig Sched Date,Status,Sales Category,Rework,Order,Sched Date Priority,Issue Reason,Issue Resolved,Contains Tag,Line,Rel,Open Qty,Total Sections,Product Code,Final Assembly,Open Value,Open Discount Value,Comment,Sales Rep Code,PM,Operations Meeting Comments,Production Comment,Fixture Type,Pick Status,MachineShop Delivered,Wiring Delivered,Production Issue,NT,Material Check,Missing Materials,Schedule Date,Status2,Production Schedule,Unit Price,Unit Time,Section Completed,Remaining Section,Remaining value,Remaining Time,Issue,Rep. Count,Year,Month,Date,Order Count,Complete/Partial,Saw,BA ,weld,lens,Column1
78542-1,15,2/20/2019,2/20/2019,Machine Shop Finished,Regular,FALSE,78542,High Priority,,,Driver Info,1,1,4,4,"B2SQDLED-400-80-30-L-6'-W-UNV-DP-1-CA(36"")",28,2256,0,,Smart Li,Zahra Vatani,,,P5-6',Picked - Complete,,,FALSE,FALSE,NO,,,Machine Shop Finished - Incomplete,,564,7,0,4,2256,28,0,1,2019,2,20,1,Complete,TRUE,TRUE,,,
78542-2,15,2/20/2019,2/20/2019,Machine Shop Finished,Regular,FALSE,78542,High Priority,,,,2,1,1,1,"B2SQDLED-400-80-30-L-8'-W-UNV-DP-1-CA(36"")",7,752,0,,Smart Li,Zahra Vatani,,,P6-8',Picked - Complete,,,FALSE,FALSE,NO,,,Machine Shop Finished - Incomplete,,752,7,0,1,752,7,0,0,2019,2,20,1,Complete,TRUE,TRUE,,,
78542-3,15,2/20/2019,2/20/2019,Machine Shop Finished,Regular,FALSE,78542,High Priority,,,LOUVER,3,1,7,7,B2SQSLED-400-80-30-L-4'-W-UNV-DP-1-SC,33.6,2632,0,,Smart Li,Zahra Vatani,,,P7-4',Picked - Complete,,,FALSE,FALSE,NO,,,Machine Shop Finished - Incomplete,,376,4.8,0,7,2632,33.6,0,0,2019,2,20,1,Complete,TRUE,TRUE,,,
78542-4,15,2/20/2019,2/20/2019,Machine Shop Finished,Regular,FALSE,78542,High Priority,,,,4,1,6,6,"B2SQDLED-400-80-30-L-4'-W-UNV-DP-1-CA(36"")",21,2256,0,,Smart Li,Zahra Vatani,,,P4-4',Picked - Complete,,,FALSE,FALSE,NO,,,Machine Shop Finished - Incomplete,,376,3.5,0,6,2256,21,0,0,2019,2,20,1,Complete,TRUE,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
