Job no.,Priority,PM,Sales Category,Rework,Order,Promised,Line,OpenQty,Open Value (Discounted),Open Value,Fixture Type,Product Code,Sched. Ship Date,Final Assembly (HRS),Status,Comment,Pick Status,MachineShop Delivered,Wiring Delivered,Issue Resolved,Production Comment,Complexity ,Production Group,Total Sections,Ballast/Driver Qty,(Wiring) Pick Status,(LED) Pick Status,(MS) Pick Status,Material Check,Status2,Missing Materials,Production Schedule,Priority List MEETING,Column2,Column3,Complete/Partial,Nc Reason,Solved?,ISSUE,Time 1,Time 2,Time Unid,Value Unid,Real sections,Real Time,Real Value,Column12,Real Status,Completed Sections,Remaining Sections,Saw,BA ,weld,lens,Product Name,Short Name,Order Issue
77005-1,,Gagandeep,Regular,FALSE,77005,Regular,1,2,0,9500,F-16-7'X16' RECT,BRLEDPAT-REC-90(4)-700-80-35-SO-FL-46'-EX-W-UNV-DP-1-D-C(7' X 16' RECTANGLE),29.01.2019,110,Machine Shop Finished,,Picked - Complete,23.01.2019,28.01.2019,FALSE,,A - Regular,1,16,24,Picked - Complete,Picked - Complete,Picked - Complete,OK,Machine Shop Finished -Ready,,01.02.2019,,1,#REF!,Complete,0,FALSE,0,1.833333333,1:40:06,6.875,593.75,16,110,9500,01.02.2019,Wiring Started,0,16,TRUE,TRUE,Ready,Done,BRLEDPAT-REC-90(4)-700-80-35-SO-FL-46'-EX-W-UNV-DP-1-D-C(7' X 16' RECTANGLE),BRLEDPAT,
77005-2,,Gagandeep,Regular,FALSE,77005,Regular,2,4,0,11400,"F-16, 30""","SK-10003-CIR-AL(#7' 10 1/4"")-700-80-35-SO-W-UNV-DP-1-DS",29.01.2019,80,Machine Shop Finished,,Picked - Complete,23.01.2019,28.01.2019,FALSE,,A - Regular,1,16,8,Picked - Complete,Picked - Complete,Picked - Complete,OK,Machine Shop Finished -Ready,,01.02.2019,,0,#REF!,Complete,0,FALSE,0,1.333333333,1:12:48,5,712.5,16,80,11400,01.02.2019,Wiring Started,0,16,TRUE,TRUE,,AfterWirin,"SK-10003-CIR-AL(#7' 10 1/4"")-700-80-35-SO-W-UNV-DP-1-DS",SK,
79375-1,,stanb,Mockup/Samples,FALSE,79375,High Priority,1,1,180,180,A,"SK-10003-ARC-AL 1' 11 9/16""-400-80-35-SO-W-UNV-DP-1-DS-C(CORD AND PLUG)",01.02.2019,4.3,Machine Shop Started,SAMPLE FOR HOWARD,Picked - Complete,,,FALSE,,C - Small,1,1,1,,,,NO,Machine Shop Started,Material+Cartridge,,,1,1,Partial Order,0,FALSE,0,0.071666667,0:03:55,4.3,180,1,4.3,180,- ,Machine Shop Started,0,1,FALSE,FALSE,,,"SK-10003-ARC-AL 1' 11 9/16""-400-80-35-SO-W-UNV-DP-1-DS-C(CORD AND PLUG)",SK,
77249-1,,jatin,Mockup/Samples,FALSE,77249,High Priority,1,2,1440,1440,PRIVATE OFFICE - NEIL,SCML-8-BW-400-MLB(16)-300-GR-80-35-AP-UNV-DP-1-CA(36)-EN(1),18.01.2019,16,Machine Shop Finished,"For Axis 
Lines 1-2-4-7-9-12 must be ready by 1/10.  Contractor waiting to install.",Picked - Complete,,24.01.2019,FALSE,,A - Regular,1,2,4,Picked - Complete,,,OK,Machine Shop Finished -Ready,,,,1,1,Partial Order,Others,FALSE,Others,0.266666667,0:14:34,8,720,2,16,1440,- ,Machine Shop Finished,0,2,TRUE,TRUE,,Done,SCML-8-BW-400-MLB(16)-300-GR-80-35-AP-UNV-DP-1-CA(36)-EN(1),SCML,Order Flagged
77249-2,,jatin,Mockup/Samples,FALSE,77249,High Priority,2,1,1360,1360,MEETING ROOM 4,STSFF-SO(16-400)-80-35-AL(2)+AT(2)-MKL(10)-80-35-W-BLK-BLK-UNV-MD-1-SBS-C(REMOTE ENLIGHTED INTEGRAL SENSOR),10.01.2019,40,Machine Shop Finished,"For Axis 
Lines 1-2-4-7-9-12 must be ready by 1/10.  Contractor waiting to install.",Picked - Complete,23.01.2019,,TRUE,,A - Regular,1,7,8,,,Picked - Complete,OK,Machine Shop Finished -Ready,,04.02.2019,,0,1,Partial Order,Missing info. In SD,TRUE,,0.666666667,0:36:24,5.714285714,194.2857143,7,40,1360,- ,Machine Shop Finished,0,7,TRUE,TRUE,,Done,STSFF-SO(16-400)-80-35-AL(2)+AT(2)-MKL(10)-80-35-W-BLK-BLK-UNV-MD-1-SBS-C(REMOTE ENLIGHTED INTEGRAL SENSOR),STSFF,Order Flagged
77249-4,,jatin,Mockup/Samples,FALSE,77249,High Priority,4,1,2100,2100,HR OFFICE,SCDIPAT-REC-90-500-300-80-35-BW-0.5M-6X8-NL-W-UNV-DP-1-CTS(12)-EN(1),18.01.2019,40.18,Machine Shop Finished,"For Axis 
Lines 1-2-4-7-9-12 must be ready by 1/10.  Contractor waiting to install.",Picked - Complete,11.01.2019,,TRUE,,A - Regular,1,4,16,,Picked - Complete,Picked - Complete,OK,Machine Shop Finished -Ready,,,,0,1,Partial Order,Wrong info. In SD,TRUE,,0.669666667,0:36:34,10.045,525,4,40.18,2100,- ,Machine Shop Finished,0,4,TRUE,TRUE,Ready,Done,SCDIPAT-REC-90-500-300-80-35-BW-0.5M-6X8-NL-W-UNV-DP-1-CTS(12)-EN(1),SCDIPAT,Order Flagged
76884-1,,stanb,NPI,FALSE,76884,Regular,1,2,1840,1840,A,"NPI-N18008-SKPE-10004-SL60/40-CIR-AL# 12' 6.75""-1000-80-35-SO-W-UNV-D-1-CA(36)",06.02.2019,0,Wiring Started,,,,,FALSE,,C - Small,1,4,12,,,,NO,Wiring Issue,Material+Cartridge,,,1,#REF!,Complete,Mechanical issue,FALSE,Mechanical issue,0,0:00:00,0,460,4,0,1840,- ,Wiring Started,0,4,TRUE,TRUE,,Done,"NPI-N18008-SKPE-10004-SL60/40-CIR-AL# 12' 6.75""-1000-80-35-SO-W-UNV-D-1-CA(36)",NPI,Order Flagged
78053-2,,Rajithan,Regular,FALSE,78053,Regular,2,1,0,6400,C1-10005,"SK-10005-CIR-AL#23' 6 3/4""-400-80-30-SO-W-UNV-DP-1-DS",08.02.2019,34,Scheduled/Released,,Picked - Complete,,,FALSE,,C - Small,1,8,4,,,,NO,Scheduled/Released,Material+Cartridge,,,1,1,Partial Order,0,FALSE,0,0.566666667,0:30:56,4.25,800,8,34,6400,- ,Scheduled/Released,0,8,FALSE,FALSE,,,"SK-10005-CIR-AL#23' 6 3/4""-400-80-30-SO-W-UNV-DP-1-DS",SK,
75801-1,,Rohan,Regular,FALSE,75801,Regular,1,1,0,520,"LT05/7' 6""-22ND","CLKLED-700-80-30-SO-7' 6""-W-UNV-DP-1-AC-FW(6)",18.02.2019,8.2,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,TRUE,,A - Regular,1,1,2,,,,NO,Machine Shop Started,Material,,,1,#REF!,Complete,Others,TRUE,,0.136666667,0:07:28,8.2,520,1,8.2,520,- ,Machine Shop Started,0,1,FALSE,FALSE,,,"CLKLED-700-80-30-SO-7' 6""-W-UNV-DP-1-AC-FW(6)",CLKLED,
75801-2,,Rohan,Regular,FALSE,75801,Regular,2,1,0,1040,"LT05/15' 6""-22ND","CLKLED-700-80-30-SO-15' 6""-W-UNV-DP-1-AC-FW(6)",18.02.2019,17,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,TRUE,,A - Regular,1,2,4,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,Others,TRUE,,0.283333333,0:15:28,8.5,520,2,17,1040,- ,Machine Shop Started,0,2,FALSE,FALSE,,,"CLKLED-700-80-30-SO-15' 6""-W-UNV-DP-1-AC-FW(6)",CLKLED,
