Order, Line, Assigned Group, Start Date, Finish day, Ship day, Assembly Time, Status 
79375,1,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-01 00:00:00,4.3,Wiring Started,
75697,1,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-05 00:00:00,40.95,Machine Shop Finished,
75697,2,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-05 00:00:00,204.75,Machine Shop Finished,
75697,3,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-05 00:00:00,209.56,Machine Shop Finished,
75697,4,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-05 00:00:00,9.81,Machine Shop Finished,
79048,1,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-08 00:00:00,4.3,Machine Shop Started,
76203,28,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-13 00:00:00,18.0,Machine Shop Started,
76203,29,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-13 00:00:00,7.0,Machine Shop Started,
76203,30,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-13 00:00:00,7.0,Machine Shop Started,
76203,31,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-13 00:00:00,28.0,Machine Shop Started,
76203,32,1,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-13 00:00:00,14.0,Machine Shop Started,
75467,6,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2018-11-29 00:00:00,120.0,Wiring Started,
70634,1,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-01 00:00:00,280.77,Machine Shop Finished,
70634,2,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-01 00:00:00,374.74,Machine Shop Finished,
70634,3,4,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-01 00:00:00,280.77,Machine Shop Finished,
70634,4,4,2019-02-02 00:00:00,2019-02-03 00:00:00,2019-02-01 00:00:00,471.7699999999999,Machine Shop Finished,
75103,3,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,30.0,Machine Shop Finished,
75103,4,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,40.0,Machine Shop Finished,
75103,5,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,96.0,Machine Shop Finished,
75103,6,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,35.0,Machine Shop Finished,
75103,7,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,24.0,Machine Shop Finished,
75103,10,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,5.0,Machine Shop Finished,
75103,11,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,32.0,Machine Shop Finished,
75103,12,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,8.0,Machine Shop Finished,
75103,13,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,10.0,Machine Shop Finished,
75103,14,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,8.0,Machine Shop Finished,
75103,15,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,8.0,Machine Shop Finished,
78889,1,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-08 00:00:00,33.2,Machine Shop Finished,
78889,2,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-08 00:00:00,0.0,Machine Shop Finished,
78889,3,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-08 00:00:00,8.3,Machine Shop Finished,
78889,4,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-08 00:00:00,14.0,Machine Shop Finished,
78170,1,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,4.3,Machine Shop Started,
78170,2,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,30.0,Machine Shop Started,
78220,1,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,80.0,Machine Shop Started,
78220,2,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,20.0,Machine Shop Started,
78220,3,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,219.2,Machine Shop Started,
78220,4,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,13.7,Machine Shop Started,
78220,5,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,30.299999999999997,Machine Shop Started,
78220,6,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,40.4,Machine Shop Started,
78220,7,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,33.0,Machine Shop Started,
78220,8,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,9.8,Machine Shop Started,
78220,9,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,7.8,Machine Shop Started,
78220,10,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,48.0,Machine Shop Started,
78220,11,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,18.3,Machine Shop Started,
78220,12,4,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,61.0,Machine Shop Started,
78220,13,4,2019-02-03 00:00:00,2019-02-04 00:00:00,2019-02-12 00:00:00,26.200000000000003,Machine Shop Started,
78220,14,4,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-02-12 00:00:00,12.5,Machine Shop Started,
78220,15,4,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-02-12 00:00:00,18.3,Machine Shop Started,
70411,37,7,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-08 00:00:00,1140.0,Wiring Started,
76762,4,7,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-06 00:00:00,88.0,Machine Shop Started,
76762,5,7,2019-02-02 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,88.0,Machine Shop Started,
76762,6,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,46.0,Machine Shop Started,
76762,7,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,67.0,Machine Shop Started,
76762,8,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-06 00:00:00,63.0,Machine Shop Started,
78538,4,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-07 00:00:00,96.0,Machine Shop Started,
78538,5,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-07 00:00:00,48.0,Machine Shop Started,
78538,6,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-07 00:00:00,40.0,Machine Shop Started,
77938,1,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-07 00:00:00,40.0,Machine Shop Started,
76592,1,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-08 00:00:00,50.0,Machine Shop Started,
76592,2,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-08 00:00:00,40.0,Machine Shop Started,
76592,19,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-08 00:00:00,8.9,Machine Shop Started,
76592,22,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-08 00:00:00,31.0,Machine Shop Started,
78607,1,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-11 00:00:00,121.0,Machine Shop Started,
78607,2,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-11 00:00:00,135.0,Machine Shop Started,
78607,3,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-11 00:00:00,33.0,Machine Shop Started,
78607,4,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-11 00:00:00,36.0,Machine Shop Started,
78535,1,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,9.0,Machine Shop Started,
78535,2,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,12.0,Machine Shop Started,
78535,3,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,38.4,Machine Shop Started,
78535,4,7,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,15.0,Machine Shop Started,
72101,1,7,2019-02-03 00:00:00,2019-02-04 00:00:00,2019-02-13 00:00:00,1216.0,Machine Shop Started,
75475,5,7,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-02-13 00:00:00,9.0,Machine Shop Started,
75475,6,7,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-02-13 00:00:00,7.0,Machine Shop Started,
75475,7,7,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-02-13 00:00:00,28.0,Machine Shop Started,
75475,8,7,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-02-13 00:00:00,4.0,Machine Shop Started,
75475,9,7,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-02-13 00:00:00,9.0,Machine Shop Started,
75475,10,7,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-02-13 00:00:00,16.0,Machine Shop Started,
75475,27,7,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-02-13 00:00:00,44.0,Machine Shop Started,
75475,28,7,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-02-13 00:00:00,14.0,Machine Shop Started,
78806,1,10,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-05 00:00:00,10.0,Machine Shop Finished,
78806,2,10,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-05 00:00:00,27.5,Machine Shop Finished,
78806,3,10,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-05 00:00:00,28.0,Machine Shop Finished,
78936,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-05 00:00:00,14.399999999999999,Wiring Started,
78290,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-04 00:00:00,36.0,Machine Shop Finished,
78864,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-04 00:00:00,9.4,Machine Shop Finished,
78864,2,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-04 00:00:00,5.6,Machine Shop Finished,
78651,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-05 00:00:00,6.8,Machine Shop Finished,
78651,2,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-05 00:00:00,54.4,Machine Shop Finished,
78651,3,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-05 00:00:00,9.0,Machine Shop Finished,
75392,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-05 00:00:00,34.0,Machine Shop Finished,
78971,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-05 00:00:00,4.2,Machine Shop Finished,
79133,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-07 00:00:00,6.2,Machine Shop Finished,
79017,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-07 00:00:00,7.5,Machine Shop Finished,
78986,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-08 00:00:00,18.4,Machine Shop Finished,
78822,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-08 00:00:00,15.0,Machine Shop Finished,
78822,2,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-08 00:00:00,5.9,Machine Shop Finished,
78822,3,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-08 00:00:00,28.5,Machine Shop Finished,
78822,4,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-08 00:00:00,7.0,Machine Shop Finished,
78047,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-08 00:00:00,67.5,Machine Shop Finished,
78047,2,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-08 00:00:00,11.8,Machine Shop Finished,
78047,3,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-08 00:00:00,3.8,Machine Shop Finished,
