Job no.,Priority,PM,Sales Category,Rework,Order,Promised,Line,OpenQty,Open Value (Discounted),Open Value,Fixture Type,Product Code,Sched. Ship Date,Final Assembly (HRS),Status,Comment,Pick Status,MachineShop Delivered,Wiring Delivered,Issue Resolved,Production Comment,Complexity ,Production Group,Total Sections,Ballast/Driver Qty,(Wiring) Pick Status,(LED) Pick Status,(MS) Pick Status,Material Check,Status2,Missing Materials,Production Schedule,Priority List MEETING,Column2,Column3,Complete/Partial,Nc Reason,Solved?,ISSUE,Time 1,Time 2,Time Unid,Value Unid,Real sections,Real Time,Real Value,Column12,Real Status,Completed Sections,Remaining Sections,Saw,BA ,weld,lens,Product Name,Short Name,Order Issue
78542-1,,Zahra,Regular,FALSE,78542,High Priority,1,4,0,2256,P5-6',"B2SQDLED-400-80-30-L-6'-W-UNV-DP-1-CA(36"")",20.02.2019,28,Machine Shop Started,,,,,TRUE,,A - Regular,15,4,8,,,,NO,Machine Shop Started,Material+Cartridge,,,1,#REF!,Complete,Missing info. In SD,TRUE,,0.466666667,0:25:29,7,564,4,28,2256,- ,Machine Shop Started,0,4,FALSE,FALSE,,,"B2SQDLED-400-80-30-L-6'-W-UNV-DP-1-CA(36"")",B2SQDLED,
78542-2,,Zahra,Regular,FALSE,78542,High Priority,2,1,0,752,P6-8',"B2SQDLED-400-80-30-L-8'-W-UNV-DP-1-CA(36"")",20.02.2019,7,Machine Shop Started,,,,,FALSE,,A - Regular,15,1,2,,,,NO,Machine Shop Started,Material+Cartridge,,,0,#REF!,Complete,0,FALSE,0,0.116666667,0:06:22,7,752,1,7,752,- ,Machine Shop Started,0,1,FALSE,FALSE,,,"B2SQDLED-400-80-30-L-8'-W-UNV-DP-1-CA(36"")",B2SQDLED,
78542-3,,Zahra,Regular,FALSE,78542,High Priority,3,7,0,2632,P7-4',B2SQSLED-400-80-30-L-4'-W-UNV-DP-1-SC,20.02.2019,33.6,Machine Shop Started,,,,,TRUE,,A - Regular,15,7,8,,,,NO,Machine Shop Started,Material+Cartridge,,,0,#REF!,Complete,Others,TRUE,,0.56,0:30:35,4.8,376,7,33.6,2632,- ,Machine Shop Started,0,7,FALSE,FALSE,,,B2SQSLED-400-80-30-L-4'-W-UNV-DP-1-SC,B2SQSLED,
78542-4,,Zahra,Regular,FALSE,78542,High Priority,4,6,0,2256,P4-4',"B2SQDLED-400-80-30-L-4'-W-UNV-DP-1-CA(36"")",20.02.2019,21,Machine Shop Started,,,,,FALSE,,A - Regular,15,6,5,,,,NO,Machine Shop Started,Material+Cartridge,,,0,#REF!,Complete,0,FALSE,0,0.35,0:19:07,3.5,376,6,21,2256,- ,Machine Shop Started,0,6,FALSE,FALSE,,,"B2SQDLED-400-80-30-L-4'-W-UNV-DP-1-CA(36"")",B2SQDLED,
78927-1,,Zahra,Regular,FALSE,78927,High Priority,1,37,0,13660.4,LA,DIALED-22-2500-80-TW2765-VL-W-UNV-DALIDT6-1-TB15-C(ELDOLED DUALDRIVER),06.02.2019,103.6,Machine Shop Started,,Picked - Complete,,,FALSE,,A - Regular,10,37,37,,,,NO,Machine Shop Started,Material,,,1,1,Partial Order,0,FALSE,0,1.726666667,1:43:36,2.8,369.2,37,103.6,13660.4,- ,Machine Shop Started,0,37,FALSE,TRUE,,Done,DIALED-22-2500-80-TW2765-VL-W-UNV-DALIDT6-1-TB15-C(ELDOLED DUALDRIVER),DIALED,Order Flagged
78927-2,,Zahra,Regular,FALSE,78927,High Priority,2,17,0,9937.52,LAE,DIALED-22-2500-80-TW2765-VL-W-UNV-DALIDT6-1-TB15-B1(BSL310LP)-C(ELDOLED DUALDRIVER),06.02.2019,107.1,Machine Shop Started,,Picked - Complete,,,FALSE,,A - Regular,10,17,17,,,,NO,Machine Shop Started,Material,,,0,1,Partial Order,0,FALSE,0,1.785,1:47:06,6.3,584.56,17,107.1,9937.52,- ,Machine Shop Started,0,17,FALSE,TRUE,,Done,DIALED-22-2500-80-TW2765-VL-W-UNV-DALIDT6-1-TB15-B1(BSL310LP)-C(ELDOLED DUALDRIVER),DIALED,Order Flagged
78927-3,,Zahra,Regular,FALSE,78927,High Priority,3,22,0,10914.2,LB,DIALED-24-3100-80-TW2765-VL-W-UNV-DALIDT6-1-TB15-C(ELDOLED DUALDRIVER),06.02.2019,72.6,Machine Shop Started,,Picked - Complete,,,FALSE,,A - Regular,10,22,22,,,,NO,Machine Shop Started,Material,,,0,1,Partial Order,0,FALSE,0,1.21,1:12:36,3.3,496.1,22,72.6,10914.2,- ,Machine Shop Started,0,22,FALSE,TRUE,,Done,DIALED-24-3100-80-TW2765-VL-W-UNV-DALIDT6-1-TB15-C(ELDOLED DUALDRIVER),DIALED,Order Flagged
78927-4,,Zahra,Regular,FALSE,78927,High Priority,4,1,0,698.04,LC-4',"SP000-SCDI-500-300-80-TW2765-SO-FL-4'-W-UNV-O(ELDOLED DUALDRIVE)-2-CT15(36"")",06.02.2019,7.6,Machine Shop Finished,,,,31.01.2019,FALSE,,A - Regular,7,1,2,Picked - Complete,,,NO,Machine Shop Finished - Incomplete,#NAME?,,,1,1,Partial Order,Others,FALSE,Others,0.126666667,0:06:55,7.6,698.04,1,7.6,698.04,- ,Machine Shop Finished,0,1,TRUE,TRUE,,Done,SCDI-500-300-80-TW2765-SO-FL-4,SCDI,Order Flagged
78927-5,,Zahra,Regular,FALSE,78927,High Priority,5,4,0,10822.08,LC-16',"SP000-SCDI-500-300-80-TW2765-SO-FL-16'-W-UNV-O(ELDOLED DUALDRIVE)-2-CT15(36"")",06.02.2019,94.4,Machine Shop Finished,,,,31.01.2019,FALSE,,A - Regular,7,8,16,Picked - Complete,,,NO,Machine Shop Finished - Incomplete,#NAME?,,,0,1,Partial Order,0,FALSE,0,1.573333333,1:25:54,11.8,1352.76,8,94.4,10822.08,- ,Machine Shop Finished,0,8,TRUE,TRUE,,Done,SCDI-500-300-80-TW2765-SO-FL-1,SCDI,Order Flagged
78927-6,,Zahra,Regular,FALSE,78927,High Priority,6,4,0,11652.76,LCE-16',"SP000-SCDI-500-300-80-TW2765-SO-FL-16'-W-UNV-O(ELDOLED DUALDRIVE)-2-CT15(36"")-B1(BSL310LP)",06.02.2019,109.6,Machine Shop Finished,,,,31.01.2019,FALSE,,A - Regular,7,8,20,Picked - Complete,,,NO,Machine Shop Finished - Incomplete,#NAME?,,,0,1,Partial Order,0,FALSE,0,1.826666667,1:39:44,13.7,1456.595,8,109.6,11652.76,- ,Machine Shop Finished,0,8,TRUE,TRUE,,Done,SCDI-500-300-80-TW2765-SO-FL-1,SCDI,Order Flagged
77005-1,,Gagandeep,Regular,FALSE,77005,Regular,1,2,0,9500,F-16-7'X16' RECT,BRLEDPAT-REC-90(4)-700-80-35-SO-FL-46'-EX-W-UNV-DP-1-D-C(7' X 16' RECTANGLE),29.01.2019,110,Machine Shop Finished,,Picked - Complete,23.01.2019,28.01.2019,FALSE,,A - Regular,1,16,24,Picked - Complete,Picked - Complete,Picked - Complete,OK,Machine Shop Finished -Ready,,01.02.2019,,1,#REF!,Complete,0,FALSE,0,1.833333333,1:40:06,6.875,593.75,16,110,9500,01.02.2019,Wiring Started,0,16,TRUE,TRUE,Ready,Done,BRLEDPAT-REC-90(4)-700-80-35-SO-FL-46'-EX-W-UNV-DP-1-D-C(7' X 16' RECTANGLE),BRLEDPAT,
77005-2,,Gagandeep,Regular,FALSE,77005,Regular,2,4,0,11400,"F-16, 30""","SK-10003-CIR-AL(#7' 10 1/4"")-700-80-35-SO-W-UNV-DP-1-DS",29.01.2019,80,Machine Shop Finished,,Picked - Complete,23.01.2019,28.01.2019,FALSE,,A - Regular,1,16,8,Picked - Complete,Picked - Complete,Picked - Complete,OK,Machine Shop Finished -Ready,,01.02.2019,,0,#REF!,Complete,0,FALSE,0,1.333333333,1:12:48,5,712.5,16,80,11400,01.02.2019,Wiring Started,0,16,TRUE,TRUE,,AfterWirin,"SK-10003-CIR-AL(#7' 10 1/4"")-700-80-35-SO-W-UNV-DP-1-DS",SK,
